,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020
Capital Federal,1,1,2,6,6,8,9,10,12,14,16,21,27,32,36,46,54,63,92,104,115,145,166,196,233,251,264,298,317,327,351,373,407,439
Buenos Aires,0,0,0,1,1,1,1,1,1,6,7,11,12,13,14,20,35,44,59,67,72,102,132,159,189,197,213,249,266,276,314,338,364,397
Catamarca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaco,0,0,0,0,0,0,2,2,2,4,4,5,7,10,11,12,14,15,20,27,31,40,52,55,57,62,66,78,81,93,96,107,115,115
Chubut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordoba,0,0,0,1,1,1,1,1,1,3,3,3,3,3,5,6,9,14,18,26,29,36,51,54,58,58,76,84,98,104,120,131,134,139
Corrientes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,5,9,10,20,21,22,22,22,22,22
Entre Rios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,3,6,6,8,8,8,11,11,12,14,18,18,19
Formosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jujuy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,5,5,5,5
La Pampa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,3,3,3,3,3,3
La Rioja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,4,6,8
Mendoza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,6,7,8,9,10,13,15,25,25,27,27,29
Misiones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3
Neuquen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,6,9,11,11,19,19,23,27,29,33,44
Rio Negro,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,3,3,4,4,4,4,4,4,6,6,6,6,7,7,7,10,15,17
Salta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3
San Juan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
San Luis,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,6,7,7,7,7,7,7,8,10,10,10,10
Santa Cruz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,7,9,9,9,9,9,9,19,21,21,22,23
Santiago del Estero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,4,4
Tierra del Fuego,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,6,6,6,10,11,14,14,18,22,33,40,40,63,64,72,75
Tucuman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,7,7,7,9,9,15,15,15,15,16,17,21,21,22,22
Santa Fe,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,4,4,17,20,42,54,62,75,88,109,131,141,149,160,165,176
