Provincia,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020
Buenos Aires,0,0,0,1,1,2,2,3,4,6,7,11,12,13,15,21,36,45,60,68,73,102,132,159,193,201,217,253,270,280,316,338,364,397,409,443,460,488,507,544,572,601,667,729,760,794,825,873,915,975,1036,1120
Capital Federal,1,1,3,7,7,9,10,11,12,17,19,24,30,35,39,49,57,66,95,107,117,146,165,194,226,244,258,292,311,321,345,373,407,439,456,480,498,521,532,578,586,596,618,648,663,677,691,706,728,761,800,837
Catamarca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaco,0,0,0,0,0,0,2,2,2,4,4,5,7,10,11,12,14,15,20,27,31,40,52,55,60,65,69,81,84,96,99,107,115,115,119,123,138,144,149,149,150,153,184,191,202,224,248,253,258,263,270,280
Chubut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2
Cordoba,0,0,0,1,1,1,1,1,1,3,3,3,3,3,5,6,9,14,18,26,29,36,51,54,55,55,73,81,95,101,117,131,134,139,146,150,151,156,169,201,206,210,222,228,241,247,249,260,260,260,264,266
Corrientes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,4,8,9,19,20,21,22,22,22,22,24,24,24,24,24,24,24,31,31,31,31,31,31,31,34,34,34,35
Entre Rios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,3,6,6,10,10,10,13,13,14,16,18,18,19,19,20,20,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22
Formosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jujuy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
